model,direction,side,dataset,layer,normalized_depth,scope,rho,mer,pier,mer_gain,pier_gain,matrix_retention,embedded_retention,poi_corrections,poi_corruptions,poi_net_utility,total_intervention_energy,edited_positions_or_frames,mean_intervention_norm,mean_perturbation_norm,original_hidden_norm,relative_perturbation,edited_fraction,path
whisper,Conditioning,decoder,cs_dialogue,8,0.25806451612903225,oracle_local,0.5,0.2785005643676112,0.5141093474426808,-0.016039921582605587,-0.04409171075837742,0.9910135660589303,0.8926788685524126,29,129,-100,5272.4346787929535,1826,2.8874231537748924,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L08/conditioning_decoder_L8_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,9,0.2903225806451613,global,0.5,0.27184696726667856,0.533068783068783,-0.009386324481672925,-0.06305114638447967,0.987557245312365,0.829450915141431,62,205,-143,40179.091352939606,13919,2.886636349805274,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L09/conditioning_decoder_L9_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,9,0.2903225806451613,oracle_local,0.5,0.27778767896393985,0.5119047619047619,-0.015327036178934217,-0.04188712522045851,0.9917048302082433,0.8943427620632279,32,127,-95,5273.360841751099,1822,2.8942704949237643,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L09/conditioning_decoder_L9_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,10,0.3225806451612903,global,0.5,0.283609576427256,0.5590828924162258,-0.021148933642250345,-0.08906525573192242,0.9801261557072496,0.7820299500831946,60,262,-202,40993.74536013603,13842,2.9615478514763787,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L10/conditioning_decoder_L10_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,10,0.3225806451612903,oracle_local,0.5,0.28046099922770745,0.5242504409171076,-0.018000356442701815,-0.054232804232804244,0.9899766698349607,0.8743760399334443,28,151,-123,5427.527184009552,1827,2.970731901483061,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L10/conditioning_decoder_L10_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,11,0.3548387096774194,global,0.5,0.27808471454880296,0.5476190476190477,-0.01562407176379732,-0.07760141093474432,0.9832368443791584,0.8053244592346089,58,234,-176,42070.849814891815,13878,3.0314778653186205,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L11/conditioning_decoder_L11_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,11,0.3548387096774194,oracle_local,0.5,0.27594605833778885,0.5074955908289241,-0.013485415552783209,-0.037477954144620795,0.9853106368270975,0.9051580698835274,29,114,-85,5512.260809659958,1814,3.038732530132281,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L11/conditioning_decoder_L11_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,12,0.3870967741935484,global,0.5,0.28075803481257056,0.5736331569664903,-0.018297392027564918,-0.10361552028218696,0.9844465566404562,0.757071547420965,57,292,-235,43987.333359241486,13946,3.1541182675492245,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L12/conditioning_decoder_L12_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,12,0.3870967741935484,oracle_local,0.5,0.2841442404800095,0.5110229276895943,-0.021683597695003887,-0.04100529100529099,0.9812494599498833,0.8943427620632279,34,127,-93,5725.785229682922,1810,3.1634172539684653,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L12/conditioning_decoder_L12_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,13,0.41935483870967744,global,0.5,0.27416384482861045,0.5224867724867724,-0.01170320204360481,-0.05246913580246909,0.9799533396699214,0.848585690515807,63,182,-119,46281.38677787781,14110,3.280041585958739,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L13/conditioning_decoder_L13_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,13,0.41935483870967744,oracle_local,0.5,0.280995663280461,0.49867724867724866,-0.018535020495455357,-0.02865961199294531,0.991445606152251,0.9209650582362728,30,95,-65,5996.080874443054,1817,3.299989474101846,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L13/conditioning_decoder_L13_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,14,0.45161290322580644,global,0.5,0.28568882552129743,0.5238095238095238,-0.02322818273629179,-0.05379188712522048,0.9736455543074397,0.8643926788685524,41,163,-122,46427.99881982803,13633,3.4055599515754444,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L14/conditioning_decoder_L14_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,14,0.45161290322580644,oracle_local,0.5,0.26156953603041644,0.4929453262786596,0.0008911067545891993,-0.02292768959435626,0.9768426509980126,0.9351081530782029,26,78,-52,6132.427589893341,1792,3.422113610431552,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L14/conditioning_decoder_L14_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,15,0.4838709677419355,global,0.5,0.2672132121428147,0.5154320987654321,-0.0047525693578090444,-0.045414462081128704,0.9747688585500734,0.8718801996672213,51,154,-103,45029.24715971947,13455,3.346655307299849,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L15/conditioning_decoder_L15_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,15,0.4838709677419355,oracle_local,0.5,0.2658468484524446,0.49074074074074076,-0.0033862056674389684,-0.020723104056437402,0.9834960684351508,0.9392678868552413,26,73,-47,6031.7883813381195,1798,3.354721012980044,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L15/conditioning_decoder_L15_oracle_local_rho0.5.json
