model,direction,side,dataset,layer,normalized_depth,scope,rho,mer,pier,mer_gain,pier_gain,matrix_retention,embedded_retention,poi_corrections,poi_corruptions,poi_net_utility,total_intervention_energy,edited_positions_or_frames,mean_intervention_norm,mean_perturbation_norm,original_hidden_norm,relative_perturbation,edited_fraction,path
qwen3_asr_1p7b,Raw,decoder,cs_dialogue,0,0.0,global,0.5,0.06208043723638092,0.08774250440917107,-0.0007722925206439732,-0.002204585537918871,0.9990171300196574,0.996142719382835,3,8,-5,38823.99623513222,13419,,2.8932108380007615,7.340775820633118,0.39412875541964604,0.15360576923076924,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L00/Raw_decoder_L0_global_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,cs_dialogue,0,0.0,oracle_local,0.5,0.06118933048179172,0.0855379188712522,0.00011881423394522611,0.0,1.0,0.9995178399228544,1,1,0,1486.2833046913147,510,,2.914280989590813,7.371134447583965,0.3953639714909862,0.005836776268354373,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L00/Raw_decoder_L0_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,cs_dialogue,0,0.0,global,0.5,0.061248737598764334,0.08333333333333333,5.9407116972609586e-05,0.002204585537918871,0.9993681550126369,0.996142719382835,13,8,5,742108.8862304688,68541,,10.827225838993723,23.527531347106283,0.4601938758154239,1.0,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L00/Raw_encoder_L0_global_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,cs_dialogue,0,0.0,oracle_local,0.5,0.06160518030060001,0.08862433862433862,-0.00029703558486306875,-0.0030864197530864196,0.9999297950014041,0.996142719382835,1,8,-7,45555.07886123657,4245,,10.731467340691772,23.50099993055364,0.4566387546233638,0.061933733094060486,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L00/Raw_encoder_L0_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,cs_dialogue,1,0.037037037037037035,global,0.5,0.061486366066654786,0.0855379188712522,-0.00017822135091784264,0.0,0.9996489750070205,0.997589199614272,5,5,0,83944.76870679855,13409,,6.260330278678391,14.697156674270351,0.4259551978266701,0.15350887235260446,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L01/Raw_decoder_L1_global_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,cs_dialogue,1,0.037037037037037035,oracle_local,0.5,0.06136755183270956,0.08597883597883597,-5.9407116972616525e-05,-0.0004409171075837742,0.9999297950014041,0.9995178399228544,0,1,-1,3203.19695186615,510,,6.280778336992451,14.681293846579159,0.42780823016194275,0.005837043480251336,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L01/Raw_decoder_L1_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,cs_dialogue,1,0.037037037037037035,global,0.5,0.06136755183270956,0.0873015873015873,-5.9407116972616525e-05,-0.001763668430335097,0.9981746700365066,0.993731918997107,9,13,-4,757340.0827941895,68541,,11.049446065773617,24.060677398745312,0.45923254290213006,1.0,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L01/Raw_encoder_L1_global_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,cs_dialogue,1,0.037037037037037035,oracle_local,0.5,0.06118933048179172,0.08641975308641975,0.00011881423394522611,-0.0008818342151675485,1.0,0.9980713596914176,2,4,-2,46497.964263916016,4245,,10.953584043325328,24.064415529788032,0.4551776472512487,0.061933733094060486,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L01/Raw_encoder_L1_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,cs_dialogue,2,0.07407407407407407,global,0.5,0.06166458741757262,0.08774250440917107,-0.00035644270183567833,-0.002204585537918871,0.9998595900028082,0.9956605593056895,4,9,-5,124478.11570262909,13440,,9.26176456120752,20.710240636907873,0.4472069988748495,0.15380918048546022,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L02/Raw_decoder_L2_global_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,cs_dialogue,2,0.07407407407407407,oracle_local,0.5,0.061248737598764334,0.0855379188712522,5.9407116972609586e-05,0.0,1.0,0.9995178399228544,1,1,0,4738.46137714386,510,,9.291100739497764,20.815249411265054,0.4463602888404254,0.005836175131027853,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L02/Raw_decoder_L2_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,cs_dialogue,2,0.07407407407407407,global,0.5,0.06196162300243569,0.09082892416225749,-0.0006534782866987471,-0.005291005291005291,0.9986661050266779,0.9922854387656702,4,16,-12,757831.9052124023,68541,,11.056621660209252,24.063270955209518,0.4594812434597789,1.0,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L02/Raw_encoder_L2_global_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,cs_dialogue,2,0.07407407407407407,oracle_local,0.5,0.06136755183270956,0.0873015873015873,-5.9407116972616525e-05,-0.001763668430335097,1.0,0.9980713596914176,0,4,-4,46490.847648620605,4245,,10.951907573291074,24.07307186778218,0.45494433088734254,0.061933733094060486,results/basis_a4/qwen3_asr_1p7b/raw/cs_dialogue/L02/Raw_encoder_L2_oracle_local_rho0.5.json
