model,layer,raw_norm,conditioning_norm,raw_l2,unit_l2,cosine,angle_degrees,raw_hash,conditioning_hash
whisper,18,0.9999999999999999,1.0,1.4740239713289292,1.4740239713289292,-0.08637333402615392,94.9550015853025,sha256:b55c368cd37a2e54a4032c3c2397a5c90bc875ba6dba4fb824e343b468c517d1,sha256:019361da4889af5cdb54dd3f9df1a028eb5195cc551f8fc1bfeb8f392b02b4ba
whisper,19,0.9999999999999999,1.0,1.4574211761743867,1.4574211761743867,-0.06203824238076644,93.5568134935461,sha256:dcd5d992ccc4bd9d56a57de8299d9a496b22f76263e81a740bd8812f9d5a6fed,sha256:1e2f6574f1c546ba9d83693d86ada2750a20b565e64e68a061b9722eeb90399a
whisper,20,1.0,1.0,1.445671870392189,1.445671870392189,-0.04498357842162474,92.57823921076569,sha256:edb01e78c59551cebd21c62537d7a034825fc1676527d4fcfb1a6eeed4cb0411,sha256:af3cc15c05e88af5f22f6feed8a830f1d94aaca10db377326f5e086abd2f0a25
whisper,21,0.9999999999999999,0.9999999999999999,1.4280163606005336,1.4280163606005338,-0.01961536307139689,91.12394960107059,sha256:60b7b976e2b7f157f2e5c6f7557f5000be22d7dbed897424c37c0763aed6c8a4,sha256:bdf28d5e980c608e86505fb4fe47d18ec574355ac1ea7d750e3ec22ceeb457ec
whisper,22,1.0,1.0,1.4343541644653468,1.4343541644653468,-0.028685934559541416,91.64380847786653,sha256:7aea99df93d99464a22d1e68b2d4f2140d18a5633a62c1c535fcd082e9583e34,sha256:a569881f3aa6a42ebd978099406b32037a6a6775d848a50828a3a827536d9bae
whisper,23,1.0,1.0,1.420714985324247,1.420714985324247,-0.00921553476243741,90.52801872178372,sha256:de59e2dc29db9b20b3bf153d0e0d1e8bb59a344770edd991e37c0ca9736d339a,sha256:bbca6c3c5911baf5ed9ce4a05090bbd87e8914fedbe3fa4bd1ad5c22ee525410
whisper,24,0.9999999999999999,0.9999999999999999,1.4743760050618897,1.47437600506189,-0.08689230215112904,94.98484848400237,sha256:630b94f97e9a509e62679a8e4d43eefdf2b5d0b600b408671779106745bb5bcf,sha256:9b0af6716849fb33642e8927541b95e72e07b360bd638cfbc2cea5cfb4e7d121
whisper,25,0.9999999999999999,1.0,1.4394158967243003,1.4394158967243003,-0.035959061871310614,92.06074675280729,sha256:78bb99448328af4190f6eb520ee2c7d9b342cff6026bdaa970b76bc895528e7b,sha256:581dc317e77eccdaa63a6d84551b2f4539c85d7cdbfad78dbed0fe752d74cf32
whisper,26,0.9999999999999999,1.0000000000000002,1.3861367040087655,1.3861367040087653,0.03931251889985814,87.74697799948255,sha256:4e311a8d2866841587f135f62f0048e7bf0c0f2ebc8111854055ef321880c68e,sha256:82fddbb72e35f99c17c4fad65856b25ffe5dbadcf3269b083deabed3ab9aeb05
whisper,27,1.0,1.0,1.4080998774338829,1.4080998774338829,0.00862736758534218,89.50568211678802,sha256:e0ec39cd2bdaebd077cfc825da205f0c17aad53d99d8cb1707acd7f18e6a8894,sha256:1050b47e99d691da47769a689a44a240063b144a74acd031d949f8903e260aa4
whisper,28,1.0,1.0,1.3745127543408737,1.3745127543408737,0.055357344077132324,86.82663564811665,sha256:e44b318841e2dedeb0dfb6e4a2b67189b81c5c298eabb64b9f85c8295a065cdd,sha256:fe72aa101de35b997627b6dcc8baac00e6fb01b69ca942c244301009c82d325d
whisper,29,0.9999999999999999,0.9999999999999999,1.3552409525135178,1.355240952513518,0.0816609803151264,85.31595466870819,sha256:1d04631e864199567020684a276d61e6b4cdec24f41c4317c4b8fb1040dd36dc,sha256:db7e0defcbfd7fa9e675207ad30d5c45b42644433546e1c4c5f42dc097c20c93
whisper,30,0.9999999999999999,0.9999999999999999,1.3273955239843658,1.327395523984366,0.11901056145313535,83.16499727834058,sha256:2bb301dbe07e7dccfa72ee6d2799df55198948cc9b25e4721bd586d916246b5b,sha256:2832c70b36566d28ec9424c6f844d93b8d9d4fd525119d10f08593210542671e
whisper,31,1.0,1.0,1.3059604970121321,1.3059604970121321,0.1472335901219124,81.53335707882835,sha256:7cf5e67f38d5f95005722b9b6d04e381af4afeaaa4140a083de8cf21f183c65f,sha256:a896d2f5623317130493e89da24abefbc21df69c5550c7371d8c16108925c403
qwen3_asr_1p7b,0,0.9999999835866497,0.9999999880375332,1.4063313424371096,1.4063313623900107,0.011116049579128488,89.36308415688207,sha256:f426db6ae9ad1769d7bb0ad4d7bfefd8dcb5e82e6ce2214d9599c34b3655d91d,sha256:654d850c6e11efeece0851bc6f4d0733adbc06550a67667c9fa56fb5dbdf26ed
