dialogue_id,n_utterances,MER,en_wer,zh_cer
CSD0001,15,0.15587529976019185,0.14705882352941177,0.1544502617801047
CSD0024,15,0.23323615160349853,0.4263565891472868,0.19662921348314608
CSD0035,15,0.10471204188481675,0.21875,0.09652076318742986
CSD0042,15,0.038303693570451436,0.109375,0.02321724709784411
CSD0048,15,0.3238312428734322,0.6691449814126395,0.1574539363484087
CSD0505,15,0.4172876304023845,0.4897959183673469,0.375
CSD0515,15,0.15764705882352942,0.4666666666666667,0.0838150289017341
CSD0528,15,0.05748502994011976,0.26582278481012656,0.03439153439153439
CSD0539,15,0.16751269035532995,0.5079365079365079,0.1033434650455927
CSD0546,15,0.2,0.4155844155844156,0.16537867078825347
