dialogue_id,n_utterances,MER,en_wer,zh_cer
CSD0001,15,0.17266187050359713,0.14705882352941177,0.17277486910994763
CSD0024,15,0.15257531584062195,0.24031007751937986,0.13258426966292136
CSD0035,15,0.09633507853403141,0.171875,0.09090909090909091
CSD0042,15,0.03556771545827633,0.109375,0.01990049751243781
CSD0048,15,0.330672748004561,0.7026022304832714,0.152428810720268
CSD0505,15,0.4157973174366617,0.5,0.36853448275862066
CSD0515,15,0.15529411764705883,0.4533333333333333,0.0838150289017341
CSD0528,15,0.06227544910179641,0.26582278481012656,0.041005291005291
CSD0539,15,0.1649746192893401,0.47619047619047616,0.10638297872340426
CSD0546,15,0.15862068965517243,0.37662337662337664,0.13137557959814528
