dialogue_id,n_utterances,MER,en_wer,zh_cer
CSD0001,15,0.1606714628297362,0.14705882352941177,0.15968586387434555
CSD0024,15,0.16715257531584063,0.3488372093023256,0.13370786516853933
CSD0035,15,0.12356020942408377,0.3125,0.10998877665544332
CSD0042,15,0.038303693570451436,0.109375,0.02321724709784411
CSD0048,15,0.3261117445838084,0.6654275092936803,0.1624790619765494
CSD0505,15,0.45454545454545453,0.5612244897959183,0.39870689655172414
CSD0515,15,0.16,0.48,0.0838150289017341
CSD0528,15,0.06467065868263473,0.26582278481012656,0.04365079365079365
CSD0539,15,0.16751269035532995,0.5079365079365079,0.1033434650455927
CSD0546,15,0.15586206896551724,0.38961038961038963,0.1267387944358578
