dialogue_id,n_utterances,MER,en_wer,zh_cer
CSD0001,15,0.17985611510791366,0.17647058823529413,0.17801047120418848
CSD0024,15,0.1467444120505345,0.2248062015503876,0.12808988764044943
CSD0035,15,0.09319371727748692,0.15625,0.08866442199775533
CSD0042,15,0.04377564979480164,0.125,0.026533996683250415
CSD0048,15,0.3933865450399088,0.6914498141263941,0.24958123953098826
CSD0505,15,0.3919523099850969,0.3877551020408163,0.38146551724137934
CSD0515,15,0.17176470588235293,0.4533333333333333,0.10404624277456648
CSD0528,15,0.06227544910179641,0.24050632911392406,0.04365079365079365
CSD0539,15,0.17766497461928935,0.47619047619047616,0.11854103343465046
CSD0546,15,0.16551724137931034,0.37662337662337664,0.1391035548686244
