Dataset,Side,Layer,Scope,rho,MER,PIER,EN-WER,Matrix-CER,Corr,Corrupt,Outside,Matrix-Ret,Edited,Energy,FractionEdited,PIER-gain,MER-gain,Matrix-CER-gain
cs_dialogue,decoder,0,global,0.5,0.24303451553496108,0.49382716049382713,0.49779541446208114,0.1998206649192992,30,84,211,0.986261125032403,13482,13773.429879665375,,-0.02380952380952378,0.019426127250044556,0.026279486825769083
cs_dialogue,decoder,0,oracle_local,0.5,0.2512326976771817,0.48721340388007056,0.49074074074074076,0.21044281969926887,19,58,110,0.9940378467121749,1820,1879.2753353714943,,-0.01719576719576721,0.011227945107823933,0.015657332045799416
cs_dialogue,encoder,0,global,0.5,0.2894314738905721,0.5268959435626103,0.5414462081128748,0.24699958614981377,70,199,680,0.9546357902013307,245535,2948677.816772461,,-0.05687830687830692,-0.026970831105566473,-0.02089943440474548
cs_dialogue,encoder,0,oracle_local,0.5,0.46367254797124696,0.6225749559082893,0.6794532627865961,0.4276451924403366,45,391,1941,0.8551801607189147,79516,951747.8973236084,,-0.1525573192239859,-0.20121190518624132,-0.20154504069526832
cs_dialogue,decoder,1,global,0.5,0.25188617596388047,0.49206349206349204,0.49559082892416223,0.21051179473030762,26,76,227,0.9843601486217921,13343,21530.85658276081,,-0.022045855379188684,0.010574466821125172,0.015588357014760662
cs_dialogue,decoder,1,oracle_local,0.5,0.2596685082872928,0.4876543209876543,0.4911816578483245,0.22023727410677335,12,52,96,0.9953339669921368,1821,2953.953526377678,,-0.01763668430335097,0.002792134497712817,0.005862877638294933
cs_dialogue,encoder,1,global,0.5,0.32394700885166045,0.5066137566137566,0.5701058201058201,0.2825217271347772,103,186,705,0.9523027736973991,245535,2612766.6087646484,,-0.036596119929453275,-0.06148636606665481,-0.056421575389708906
cs_dialogue,encoder,1,oracle_local,0.5,0.5778530267926097,0.6300705467372134,0.7491181657848325,0.5486273968823286,44,407,2037,0.8474034390391428,79516,849839.6896209717,,-0.16005291005291006,-0.3153923840076041,-0.3225272451372604
cs_dialogue,decoder,2,global,0.5,0.24600487138359176,0.49514991181657847,0.49867724867724866,0.20306249137812113,33,90,257,0.9828912123045018,13431,25222.936789631844,,-0.025132275132275117,0.016455771401413882,0.023037660366947155
cs_dialogue,decoder,2,oracle_local,0.5,0.26620329115428026,0.49250440917107585,0.49559082892416223,0.22706580217961098,12,63,113,0.9948155188801521,1823,3452.8708300590515,,-0.0224867724867725,-0.003742648369274626,-0.000965650434542692
cs_dialogue,encoder,2,global,0.5,0.3062436879938217,0.4783950617283951,0.5454144620811288,0.26555386949924126,117,136,694,0.9505746133241165,245535,2598116.487915039,,-0.008377425044091724,-0.04378304520881604,-0.03945371775417297
