model,dataset,side,layer,relative_depth,direction,scope,rho,rank_stability_status,mer,pier,en_wer,matrix_cer,matrix_retention,poi_corrections,poi_corruptions,poi_net_utility,corrections,corruptions,outside_harm,edited_positions_or_frames,total_intervention_energy,original_hidden_norm,mean_perturbation_norm,relative_perturbation,edited_fraction,raw_local_mer,raw_local_pier,conditioning_local_mer,conditioning_local_pier,a5_minus_raw_local_mer,a5_minus_conditioning_local_mer,direction_hash,mask_hash,site_hash,model_revision,config_hash,_path
qwen3_asr_1p7b,cs_dialogue,decoder,10,0.37037037037037035,neg_shared,oracle_local,0.5,NOT_TESTED,0.06136755183270956,0.08641975308641975,0.09964726631393298,,1.0,1,3,-2,1,3,,510,14780.610466003418,62.716190083821616,28.98158914902631,0.4621069792392005,0.005836308706399341,0.061308144715736944,0.08597883597883597,0.06136755183270956,0.08641975308641975,5.9407116972616525e-05,0.0,sha256:8644a5aaa6930c5320d9bd18784c30c0d75e4758eb920af2844d02968e395ad2,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L10/neg_shared_decoder_L10_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,11,0.4074074074074074,neg_shared,oracle_local,0.5,NOT_TESTED,0.061248737598764334,0.0855379188712522,0.09876543209876543,,1.0,0,0,0,0,0,,510,19114.624481201172,81.21561090057972,37.479655845492495,0.4614833950011569,0.005837177095374895,0.061308144715736944,0.08597883597883597,0.06136755183270956,0.08641975308641975,-5.9407116972609586e-05,-0.00011881423394522611,sha256:3e4bcf99936f779b14d9b7e8e47f38af2ae4bdd27eb87354bbebdf25385ddab2,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L11/neg_shared_decoder_L11_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,12,0.4444444444444444,neg_shared,oracle_local,0.5,NOT_TESTED,0.06136755183270956,0.08641975308641975,0.09964726631393298,,1.0,0,2,-2,0,2,,510,20470.872386932373,87.3311269273945,40.13896546457328,0.45961808666392323,0.005836909871244635,0.061248737598764334,0.0855379188712522,0.06136755183270956,0.08597883597883597,0.00011881423394522611,0.0,sha256:ae98ee09975123553d76b2e5472abab53f5fbbad20471eb036857b3e9257b83f,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L12/neg_shared_decoder_L12_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,13,0.48148148148148145,neg_shared,oracle_local,0.5,NOT_TESTED,0.061308144715736944,0.0855379188712522,0.09876543209876543,,1.0,1,1,0,1,1,,510,22105.185470581055,95.19870307772767,43.34350092270795,0.4552950777839791,0.005836308706399341,0.06136755183270956,0.08597883597883597,0.061308144715736944,0.08597883597883597,-5.9407116972616525e-05,0.0,sha256:ba6abf2abaf6dbc9f8135da2ac2705da71c9e7720d9c867866c5d78013c1727c,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L13/neg_shared_decoder_L13_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,14,0.5185185185185185,neg_shared,oracle_local,0.5,NOT_TESTED,0.061486366066654786,0.08641975308641975,0.10008818342151675,,1.0,2,4,-2,2,4,,510,24500.929347991943,104.70553662169213,48.0410379372391,0.4588204166396136,0.00583437246176198,0.06136755183270956,0.08597883597883597,0.061486366066654786,0.0873015873015873,0.00011881423394522611,0.0,sha256:e16032563b6c66c1d5bbde70d7dc004b944d006589d98a503fc4e16631728d97,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L14/neg_shared_decoder_L14_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,15,0.5555555555555556,neg_shared,oracle_local,0.5,NOT_TESTED,0.061248737598764334,0.08774250440917107,0.10052910052910052,,1.0,1,6,-5,1,6,,509,25489.379470825195,124.69161069978665,50.07736634739724,0.4016097479722661,0.005825664972760152,0.06142695894968217,0.08641975308641975,0.06112992336481911,0.0855379188712522,-0.0001782213509178357,0.00011881423394522611,sha256:992e61a87fcc11ea49129d0eeb9bfb99a615a6a10095b17fc598d7ff67e264e3,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L15/neg_shared_decoder_L15_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,16,0.5925925925925926,neg_shared,oracle_local,0.5,NOT_TESTED,0.06166458741757262,0.0873015873015873,0.1009700176366843,,0.9995787700084247,1,5,-4,1,5,,509,36499.51908111572,154.20051760570473,71.70828896093462,0.4650327383744251,0.005826065059634182,0.061783401651517855,0.0873015873015873,0.061308144715736944,0.08597883597883597,-0.00011881423394523305,0.00035644270183567833,sha256:d6f53e3fb4ed47873883bcc6e15e5b0a34f84c91d43e5aa940a3eb342e233125,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L16/neg_shared_decoder_L16_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,17,0.6296296296296297,neg_shared,oracle_local,0.5,NOT_TESTED,0.061308144715736944,0.08597883597883597,0.0992063492063492,,0.9999297950014041,1,2,-1,1,2,,510,48470.590812683105,206.34067158418543,95.04037414251589,0.46059932544001697,0.005837577977450924,0.061842808768490465,0.08774250440917107,0.06136755183270956,0.0873015873015873,-0.000534664052753521,-5.9407116972616525e-05,sha256:0e5cf398e945b72f8bc2bb70f5d4573866d27ff637ebb22f51fd922c8d6e01dd,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L17/neg_shared_decoder_L17_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,18,0.6666666666666666,neg_shared,oracle_local,0.5,NOT_TESTED,0.061308144715736944,0.08641975308641975,0.10008818342151675,,1.0,2,4,-2,2,4,,510,64173.3171005249,267.02955797980815,125.83003353044099,0.4712213677107454,0.005835039987185794,0.06142695894968217,0.0873015873015873,0.06338739380977841,0.09832451499118165,-0.00011881423394522611,-0.0020792490940414673,sha256:e94585dd21ee39fa68eee068e596929967dd7cbb2f757ff84a22da6b019b8f2b,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L18/neg_shared_decoder_L18_oracle_local_rho0.5.json
qwen3_asr_1p7b,cs_dialogue,decoder,19,0.7037037037037037,neg_shared,oracle_local,0.5,NOT_TESTED,0.06166458741757262,0.08818342151675485,0.10141093474426807,,0.9996489750070205,1,7,-6,1,7,,510,79911.42892456055,338.1664680032169,156.68907632266774,0.4633489454110429,0.005837310716615733,0.061842808768490465,0.08994708994708994,0.061783401651517855,0.0890652557319224,-0.00017822135091784264,-0.00011881423394523305,sha256:d518f85d68810aff92c2245eb3be05671312aad35b4e89e7cf05a1735ea67c68,ff8218fe57b5bd55d7d7d290110765dbe90b3d9b9fc16723185f9d931db20c85,2f70a1ed3ba6d07fdd12200ea38d699cc6d27fc02d28a8eff551f8b0ce6a30ed,sha256:5d87c842f212c25fef15bbb1d300fbbb5fafc98eb97fc37f01fcfbf2ce3453e8,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/qwen/neg_shared/decoder/cs_dialogue/L19/neg_shared_decoder_L19_oracle_local_rho0.5.json
