model,dataset,side,layer,relative_depth,direction,scope,rho,rank_stability_status,mer,pier,en_wer,matrix_cer,matrix_retention,poi_corrections,poi_corruptions,poi_net_utility,corrections,corruptions,outside_harm,edited_positions_or_frames,total_intervention_energy,original_hidden_norm,mean_perturbation_norm,relative_perturbation,edited_fraction,raw_local_mer,raw_local_pier,conditioning_local_mer,conditioning_local_pier,a5_minus_raw_local_mer,a5_minus_conditioning_local_mer,direction_hash,mask_hash,site_hash,model_revision,config_hash,_path
whisper,cs_dialogue,decoder,0,0.0,neg_shared,oracle_local,0.5,NOT_TESTED,0.35121487554208997,0.6380070546737213,0.6468253968253969,,0.8960511535470491,35,416,-381,35,416,,1576,1800.8560279011726,0.26159262743148526,1.142675144607343,0.5066755161209067,0.11599322882166777,0.2512326976771817,0.48721340388007056,0.2537872037070041,0.4660493827160494,0.09998217786490826,0.09742767183508588,sha256:c9011cf6c8ace94336dbbff748f5ecd7170094d87341cf8676ff4f648d373972,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L00/neg_shared_decoder_L0_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,1,0.03225806451612903,neg_shared,oracle_local,0.5,NOT_TESTED,0.27594605833778885,0.558641975308642,0.564373897707231,,0.9765834269420203,63,264,-201,63,264,,1776,3302.8966764211655,0.43523363489013217,1.859739119606512,0.5251031031448347,0.12288956545806809,0.2596685082872928,0.4876543209876543,0.26976771817263706,0.4876543209876543,0.016277550050496026,0.0061783401651517855,sha256:a2ac2105b02523d217c6e2f0c2a47424bd6af14afe4f5b2bc56c0a2ffc1bbe24,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L01/neg_shared_decoder_L1_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,2,0.06451612903225806,neg_shared,oracle_local,0.5,NOT_TESTED,0.2903819877621339,0.49559082892416223,0.5017636684303352,,0.9603387194331634,58,116,-58,58,116,,1821,3964.380066394806,0.507074513171647,2.177034632836247,0.525377397293857,0.12237080841341308,0.26620329115428026,0.49250440917107585,0.2650745559318006,0.48148148148148145,0.024178696607853656,0.025307431830333293,sha256:1700cdebd52245d9aa48e1daa3ae18382f6dd0836289cb6f01fa97758a7329f7,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L02/neg_shared_decoder_L2_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,3,0.0967741935483871,neg_shared,oracle_local,0.5,NOT_TESTED,0.3492544406819937,0.7235449735449735,0.7279541446208113,,0.9129871252052191,28,603,-575,28,603,,1584,3819.1560497283936,0.4934602038481346,2.411083364727521,0.5190839809166898,0.1062374245472837,0.26151012891344383,0.48677248677248675,0.26703499079189685,0.4898589065255732,0.08774431176854985,0.08221944989009683,sha256:2562bcb8e0dda5b29762352679442234bcb31db347be3eb12a11fe34c3806cc4,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L03/neg_shared_decoder_L3_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,4,0.12903225806451613,neg_shared,oracle_local,0.5,NOT_TESTED,0.656626863898295,0.7451499118165785,0.966931216931217,,0.659033958351335,164,788,-624,164,788,,1632,4033.344592809677,0.4533161568182342,2.471412127947106,0.5511627812854624,0.10109645047388961,0.2559852670349908,0.4828042328042328,0.2729757024891582,0.5008818342151675,0.40064159686330425,0.38365116140913685,sha256:1c42dec48bfca6bb0a73c445e2f45e1dcad7bd669bbf49a35687ece8aa5a5208,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L04/neg_shared_decoder_L4_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,5,0.16129032258064516,neg_shared,oracle_local,0.5,NOT_TESTED,0.3493732549159389,0.5493827160493827,0.5630511463844797,,0.8922492007258274,38,218,-180,38,218,,1579,4066.106035709381,0.5703851021777598,2.575114652127537,0.5173975237192238,0.11460299027435042,0.2573516307253609,0.48544973544973546,0.27356977365888435,0.5008818342151675,0.09202162419057802,0.07580348125705455,sha256:e944d7211936f35b19f4f18ccd4cf3d90bd412322c5b222a1a831ab90072f62a,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L05/neg_shared_decoder_L5_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,6,0.1935483870967742,neg_shared,oracle_local,0.5,NOT_TESTED,0.2784411572506386,0.5052910052910053,0.5529100529100529,,0.9784844033526311,12,92,-80,12,92,,1802,4622.633733987808,0.6557867632573645,2.565279541613656,0.4816528241538429,0.12312948411342671,0.2818273629180776,0.47442680776014107,0.2758272441038436,0.5013227513227513,-0.0033862056674389684,0.0026139131467949883,sha256:ba2ccff0b8e14455a0f6fb060c9e9d5e9c8aa91677f310355ed2a6004f4c9daf,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L06/neg_shared_decoder_L6_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,7,0.22580645161290322,neg_shared,oracle_local,0.5,NOT_TESTED,0.270242975108418,0.5229276895943563,0.5260141093474426,,0.9735591462887756,13,133,-120,13,133,,1786,4988.259011745453,0.7260796020248175,2.7929781700702425,0.48106763593045426,0.12506127021917232,0.27054001069328104,0.47971781305114636,0.278381750133666,0.5132275132275133,-0.00029703558486304793,-0.008138775025248013,sha256:bbc3c83c427cc62245e5becc3d02d1011d137a2c54fdd005ee2a32e151bee348,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L07/neg_shared_decoder_L7_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,8,0.25806451612903225,neg_shared,oracle_local,0.5,NOT_TESTED,0.2758272441038436,0.5229276895943563,0.5277777777777778,,0.9889397736109911,18,138,-120,18,138,,1801,5304.786669492722,0.7526532667501677,2.9454673345323275,0.4765781901592208,0.12177970112921767,0.2653715915166637,0.4880952380952381,0.2785005643676112,0.5141093474426808,0.010455652587179953,-0.002673320263767598,sha256:fd10cb3df7468b3491b1e8a69dd3312a93252aeca5870624a093138ba40ae63c,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L08/neg_shared_decoder_L8_oracle_local_rho0.5.json
whisper,cs_dialogue,decoder,9,0.2903225806451613,neg_shared,oracle_local,0.5,NOT_TESTED,0.27814412166577557,0.5242504409171076,0.5295414462081128,,0.9879028773870215,15,138,-123,15,138,,1808,5337.86997294426,0.7559152542719332,2.952361710699259,0.47702939541011946,0.12213740458015267,0.261331907562526,0.49074074074074076,0.27778767896393985,0.5119047619047619,0.016812214103249568,0.00035644270183571303,sha256:aed3adade67115b75fcf9b5d476107c5320a54a8927bfc48bd9f7637d1c197c3,sha256:0cc65e50364fa26ee31b657e748e26033311fbf3161b6d27991b694e461bcfba,sha256:1629d5d6ba2aa530259a76fdb5ecc7109108d4bb4b5c47bf48a4dc3d82cb4395,sha256:a8e94b85976e5864ba3e9525c7e6c83b2a1eca42d4b797a0c7c24d778e40fd95,sha256:39c3f62c162ab0fe10acb5bc2b0c17040b2744ecee5fb9d4dd08a2d12c78dfb2,results/basis_a5_unique_shared/whisper/neg_shared/decoder/cs_dialogue/L09/neg_shared_decoder_L9_oracle_local_rho0.5.json
