model,side,layer,direction,comparator,cosine,angle_deg,raw_l2,unit_l2_identity,a5_norm,comparator_norm,direction_hash
whisper,encoder,8,neg_shared,Raw,0.05621689948504917,86.7773099338203,1.373887257440404,1.373887257440404,1.0,1.0,sha256:b455d9e5ed85c53752c823764833454cac52ef0841c67c604e8f9368444ab1f1
whisper,encoder,8,pos_unique,Raw,0.6509516108210345,49.386612269043226,0.8355218600649212,0.8355218600649212,1.0,1.0,sha256:bc7ab4138215305aaf691817443581f4725f626600c09a537433546c1355d9f7
whisper,encoder,8,unique_minus_shared,Raw,0.5000436483523232,59.99711220623756,0.9999563485266266,0.9999563485266266,1.0,1.0,sha256:79592c585c77f423d85a2a17e7ff8f005db3e8c417d878871b59864da605b570
whisper,encoder,9,neg_shared,Raw,0.046840258098342816,87.31526856752963,1.380695294517541,1.380695294517541,1.0,1.0,sha256:f83544f608c78622d7dcb47246bad774bdf9550db331505a4b6641aa1d7c8428
whisper,encoder,9,pos_unique,Raw,0.6544148194640695,49.12470665076626,0.8313665634418124,0.8313665634418124,1.0,1.0,sha256:f1358cd4819cdfcd70c982ed5acc546216352e1c8c802c9060d241a3d5c0e349
whisper,encoder,9,unique_minus_shared,Raw,0.4958622174343885,60.27337798660838,1.0041292550503151,1.0041292550503151,1.0,1.0,sha256:a4765d2f107e0c04c2925ede5cc40f4801ba74dcdc82ec693fb12dc1bc9cfdd7
whisper,encoder,10,neg_shared,Raw,0.022352493049267477,88.71918981553804,1.3983186346962742,1.3983186346962742,0.9999999403953552,1.0000000000000002,sha256:fb03649d6a8379ded5ac1666db6635c13872e3c0f2f5917298d3181b596fdaaa
whisper,encoder,10,pos_unique,Raw,0.6068843676042387,52.63543819902485,0.8866968286436692,0.8866968286436692,1.0,1.0000000000000002,sha256:e9a1ff734288e6bb6a6516cfde5fcf6c1310cefc081d0bb06d5997c61cc33ae3
whisper,encoder,10,unique_minus_shared,Raw,0.44493764944057834,63.580650335353525,1.0536245567170648,1.0536245567170648,1.0,1.0000000000000002,sha256:894da0aae7bc6e6d2189e7720f006852adcc023a480b5ed789906ef6aa36dcc2
whisper,encoder,11,neg_shared,Raw,0.10066046521818872,84.22279574134613,1.3411484081620815,1.3411484081620815,1.0,1.0,sha256:1e45f2fe984a3899f7637491ce853b72a8fe29e241b8b15e5a6bdb54546394af
whisper,encoder,11,pos_unique,Raw,0.6077639898840939,52.57200010953101,0.8857042507325945,0.8857042507325945,1.0,1.0,sha256:e4a9dc57f0d91bde3155101f1798007fec5c44366e4aecf049cc2649e2c214d7
whisper,encoder,11,unique_minus_shared,Raw,0.5009317364215817,59.9383376456667,0.9990678324565133,0.9990678324565133,1.0,1.0,sha256:c8bccbaf995a46e2c94b7f2ef3c2c9fabe9985e27fd11362cecd9ab9194c5f04
whisper,encoder,12,neg_shared,Raw,0.09092004814203068,84.78346101560709,1.3483915927149053,1.3483915927149053,1.0,1.0000000000000002,sha256:50f615e2aec8a66c969c2e1e5c93219d795f2fc348a77a6428f611bebfb846d8
whisper,encoder,12,pos_unique,Raw,0.6246979919736028,51.339975700596725,0.8663740617715386,0.8663740617715386,1.0,1.0000000000000002,sha256:7bf85b4792b320266aeaf325741caed55bbdbe31ae36e1a97ae2f46632405ce6
whisper,encoder,12,unique_minus_shared,Raw,0.5060183679800837,59.60102274238322,0.993963413073474,0.993963413073474,1.0,1.0000000000000002,sha256:bc1727b1def573e1657f103f93c111294ab9a46a11611f160f254d59611615e0
whisper,encoder,13,neg_shared,Raw,0.07096971228124033,85.93031382698622,1.3631069574034973,1.3631069574034973,1.0,1.0,sha256:b4dd42dc4676e6417a4a071f77af4257a656e7b645cd94cf219539d9dd46456b
whisper,encoder,13,pos_unique,Raw,0.6345005902511867,50.61704598569708,0.8549846889085985,0.8549846889085985,1.0,1.0,sha256:c0d4ac23773c238c0eae3f5a266639136913cac960b314fc08ae5414b48b14b8
whisper,encoder,13,unique_minus_shared,Raw,0.49884283403693974,60.076527999463124,1.001156501066827,1.001156501066827,1.0,1.0,sha256:567f95f0958ccce2323c4885adda92ac610e35cd593a47a85adea699c45e631b
