direction,layer,rho,wer,mer,pier,en_wer,matrix_cer,corrections,corruptions,utility,outside_harm,embed_retention,matrix_retention,energy,utility_per_energy,edits,effective_dose,direction_hash,source
Raw+Cond,2,0.5,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,-1.0,1,1.0,0.9943820224719101,445.4389865398407,-0.002244976372113218,231,2.1071809068954193,sha256:548a6637df10898bfed64e41e49926c4ffdcc2209ad29acaeb46445f2dc2b6ba,NEW
Raw+Cond,2,1.0,n/a — no frozen canonical overall WER,0.3,0.8382352941176471,0.8382352941176471,0.10552763819095477,0,8,-9.0,3,0.5789473684210527,0.9943820224719101,764.0843930244446,-0.011778803600968293,238,4.2143618137908385,sha256:548a6637df10898bfed64e41e49926c4ffdcc2209ad29acaeb46445f2dc2b6ba,NEW
Raw+Cond,2,2.0,n/a — no frozen canonical overall WER,2.574074074074074,0.9852941176470589,1.0,3.135678391959799,0,18,-148.0,142,0.05263157894736842,0.2696629213483146,2167.10990524292,-0.06829372134839193,462,8.428723627581677,sha256:548a6637df10898bfed64e41e49926c4ffdcc2209ad29acaeb46445f2dc2b6ba,NEW
Raw,2,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,233.85580468177795,0.0,232,1.0535904534477096,sha256:4302917ef0806206fdbd1149b2fc6d7e1a91a26bc33079c295e2c13960553992,NEW
Raw,2,0.5,n/a — no frozen canonical overall WER,0.2777777777777778,0.7205882352941176,0.7205882352941176,0.11557788944723618,0,0,-3.0,3,1.0,0.9831460674157303,433.43040013313293,-0.006921526499014645,231,2.1071809068954193,sha256:4302917ef0806206fdbd1149b2fc6d7e1a91a26bc33079c295e2c13960553992,NEW
Raw,2,1.0,n/a — no frozen canonical overall WER,1.4555555555555555,0.8676470588235294,0.8676470588235294,1.6633165829145728,2,12,-105.0,104,0.3684210526315789,0.46629213483146065,1612.704173564911,-0.06510803513820868,491,4.2143618137908385,sha256:4302917ef0806206fdbd1149b2fc6d7e1a91a26bc33079c295e2c13960553992,NEW
Raw,2,2.0,n/a — no frozen canonical overall WER,0.937037037037037,0.9852941176470589,0.9852941176470589,0.9195979899497487,0,18,-181.0,175,0.05263157894736842,0.08426966292134831,335.09569931030273,-0.5401442046929757,78,8.428723627581677,sha256:4302917ef0806206fdbd1149b2fc6d7e1a91a26bc33079c295e2c13960553992,NEW
Conditioning,3,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,267.3780081272125,0.0,232,1.169479192059062,sha256:3ebb42215d4e2da499551a5113e164fef428c078d39b1237bc1eb4d70c69f55a,NEW
Conditioning,3,0.5,n/a — no frozen canonical overall WER,0.2814814814814815,0.7647058823529411,0.7647058823529411,0.10552763819095477,0,3,-3.0,0,0.8421052631578947,1.0,513.2720317840576,-0.005844853828431766,236,2.338958384118124,sha256:3ebb42215d4e2da499551a5113e164fef428c078d39b1237bc1eb4d70c69f55a,NEW
Conditioning,3,1.0,n/a — no frozen canonical overall WER,0.3,0.8382352941176471,0.8382352941176471,0.10552763819095477,0,8,-8.0,2,0.5789473684210527,1.0,871.0152101516724,-0.009184684614872497,240,4.677916768236248,sha256:3ebb42215d4e2da499551a5113e164fef428c078d39b1237bc1eb4d70c69f55a,NEW
