Dataset,Scope,geometry,outcome,pearson,spearman,n
seame_dev_man,oracle_local,cos_raw_cond,Cond-Matrix-Ret,-0.8197924569342097,-0.39999999999999997,4
seame_dev_man,oracle_local,cos_raw_cond,Raw-Outside,,,0
seame_dev_man,oracle_local,cos_raw_cond,Cond-Outside,,,0
seame_dev_man,oracle_local,angle_deg,Raw-PIER-gain,0.23110866403828703,0.39999999999999997,4
seame_dev_man,oracle_local,angle_deg,Cond-PIER-gain,-0.34907886027683843,-0.39999999999999997,4
seame_dev_man,oracle_local,angle_deg,Raw-Matrix-Ret,0.2561251804884482,0.39999999999999997,4
seame_dev_man,oracle_local,angle_deg,Cond-Matrix-Ret,0.8204685172191031,0.39999999999999997,4
seame_dev_man,oracle_local,angle_deg,Raw-Outside,,,0
seame_dev_man,oracle_local,angle_deg,Cond-Outside,,,0
seame_dev_man,oracle_local,unit_l2,Raw-PIER-gain,0.2471380536446353,0.39999999999999997,4
seame_dev_man,oracle_local,unit_l2,Cond-PIER-gain,-0.36716529897585387,-0.39999999999999997,4
seame_dev_man,oracle_local,unit_l2,Raw-Matrix-Ret,0.24569322576321156,0.39999999999999997,4
seame_dev_man,oracle_local,unit_l2,Cond-Matrix-Ret,0.8313297456989878,0.39999999999999997,4
seame_dev_man,oracle_local,unit_l2,Raw-Outside,,,0
seame_dev_man,oracle_local,unit_l2,Cond-Outside,,,0
seame_dev_sge,global,cos_raw_cond,Raw-PIER-gain,-0.9226518231985099,-0.7999999999999999,4
seame_dev_sge,global,cos_raw_cond,Cond-PIER-gain,0.9374883443119465,0.7999999999999999,4
seame_dev_sge,global,cos_raw_cond,Raw-Matrix-Ret,-0.18770273778390173,-0.19999999999999998,4
seame_dev_sge,global,cos_raw_cond,Cond-Matrix-Ret,-0.8594831355090613,-1.0,4
seame_dev_sge,global,cos_raw_cond,Raw-Outside,,,0
seame_dev_sge,global,cos_raw_cond,Cond-Outside,,,0
